Year,Month,All Items (Year on Change),All Items (12 Months Avg. Change),Food (Year on Change)/1,Food (12 Months Avg. Change)/1,All Items Less Farm Produce (Year on Change)/2,All Items Less Farm Produce (12 Months Avg. Change)/2,All Items Less Farm Produce and Energy (Year on Change)/3,All Items Less Farm Produce and Energy (12 Months Avg. Change)/3
2003,1,10.6,12.3,7.5,11.6,16.1,13.4,13.6,8.6
2003,2,7.3,11.4,3.5,9.7,14.2,14.3,12.1,8.9
2003,3,5.9,10.5,0.1,7.9,15.4,15,13.9,9.4
2003,4,8.3,10.1,3.3,6.9,16.9,15.6,17.6,10.4
2003,5,8.7,10,3.3,6.3,17.6,16.3,15.5,11.3
2003,6,14,10.1,6.2,6,22.2,16.6,17.7,12.3
2003,7,12.9,10,0.1,4.7,41.2,19,22,13.8
2003,8,12.4,10,0.9,3.9,30.9,20.5,19.9,14.9
2003,9,18.4,10.7,6.2,4,36.3,22.2,22.5,15.8
2003,10,23.6,12.3,13.2,5,40.7,24.6,27.8,17.4
2003,11,21.3,13,12.4,5.4,35.7,26,27.8,18.9
2003,12,23.8,14,15.4,6,34.8,27.2,25,19.8
2004,1,22.4,15,11.9,6.3,38,29,26.3,20.9
2004,2,24.8,16.5,14.5,7.2,41.1,31.2,26.4,22
2004,3,22.5,17.8,15.6,8.5,32.6,32.6,27.4,23.2
2004,4,17.5,18.5,14.4,9.4,22.5,32.9,15.4,22.9
2004,5,19.8,19.4,18.1,10.6,23.4,33.2,17.5,23
2004,6,14.1,19.4,14.5,11.3,14.7,32.3,14.5,22.6
2004,7,10.7,19.1,12.2,12.4,5.8,29,10.8,21.6
2004,8,13,19.1,16.3,13.7,9.1,26.9,11.4,20.8
2004,9,9.1,18.2,14.6,14.4,3.6,23.9,6.6,19.3
2004,10,10.7,17.1,15.4,14.6,3.4,20.7,6.4,17.5
2004,11,10,16.1,15.1,14.8,3.2,17.9,4.6,15.5
2004,12,10,15,12.1,14.5,5.9,15.5,-1.8,13.1
2005,1,9.8,14,15.1,14.8,2,12.6,1.2,11
2005,2,10.9,12.9,18.7,15.2,-0.4,9.4,3.2,9.2
2005,3,16.3,12.5,25,16,3.6,7.3,0.7,7.1
2005,4,17.9,12.6,20.3,16.5,13.8,6.8,14.2,7
2005,5,16.8,12.5,15.7,16.3,16.6,6.5,15.2,7
2005,6,18.6,12.9,18,16.6,16.2,6.7,17.8,7.3
2005,7,26.1,14.2,35.7,18.6,10.7,7.1,16.9,7.9
2005,8,28.2,15.5,38.5,20.5,12.1,7.4,13.1,8.1
2005,9,24.3,16.8,29.5,21.8,14.6,8.3,14.7,8.7
2005,10,18.6,17.4,24.6,22.5,9.4,8.8,13.3,9.3
2005,11,15.1,17.8,19.7,22.9,6.8,9.1,7.7,9.6
2005,12,11.6,17.9,15.5,23.1,2.4,8.8,9.1,10.5
2006,1,10.7,17.9,14.7,22.9,4.3,9,11.7,11.4
2006,2,10.8,17.8,10.5,22.1,11.1,10,11.9,12.1
2006,3,12,17.4,9.3,20.7,16.3,11.1,11.8,13.1
